source,TOTAL,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Marshall Islands,Maryland,Massachusetts,Michigan,Micronesia,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Marianas,Ohio,Oklahoma,Oregon,Palau,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
states20200325-1.json,44183,196,36,,253,197,1931,720,415,87,137,1141,1015,30,66,51,1285,259,105,82,124,1172,109,,288,777,1328,,262,320,183,37,52,245,101,2844,83,21689,398,32,,442,81,191,,644,31,106,298,28,615,352,280,75,17,290,2221,20,416,26
states20200325-3.json,54453,242,42,,326,230,2511,921,618,104,183,1373,1119,30,70,71,1535,365,124,98,163,1388,118,,349,1159,1791,,287,377,255,48,53,278,108,3675,100,26358,504,37,,564,106,209,,851,39,124,342,30,667,715,298,95,17,391,2469,39,457,30
states20200326-3.json,68440,386,59,,401,306,2982,1086,875,119,231,1861,1441,38,76,123,1865,477,145,98,198,1946,147,,580,1838,2294,,346,485,356,65,64,321,137,4402,112,32966,636,45,,704,223,266,,1128,51,132,424,41,784,974,346,123,17,460,2580,51,585,44
states20200327-3.json,85356,531,69,0,508,349,3777,1430,1012,143,267,2352,1714,47,86,189,2538,645,179,168,248,2305,155,0,774,2417,2856,0,399,579,502,90,73,535,158,6876,136,38977,764,58,0,867,248,316,0,1688,64,188,456,46,957,1396,402,156,17,604,3207,76,707,55
